admin2Name_en;admin2RefName;SenDist_en;admin1Name_en;admin0Name_en;validOn
Dala;Dala;Kano Central;Kano;Nigeria;17/04/2019
Damaturu;Damaturu;Yobe South;Yobe;Nigeria;17/04/2019
Damban;Damban;Bauchi Central;Bauchi;Nigeria;17/04/2019
Dambatta;Dambatta;Kano North;Kano;Nigeria;17/04/2019
Damboa;Damboa;Borno South;Borno;Nigeria;17/04/2019
Dan Musa;Dan Musa;Katsina Central;Katsina;Nigeria;17/04/2019
Dandi;Dandi;Kebbi North;Kebbi;Nigeria;17/04/2019
Dandume;Dandume;Katsina South;Katsina;Nigeria;17/04/2019
Dange-Shuni;Dange-Shuni;Sokoto South;Sokoto;Nigeria;17/04/2019
Danja;Danja;Katsina South;Katsina;Nigeria;17/04/2019
Darazo;Darazo;Bauchi Central;Bauchi;Nigeria;17/04/2019
Dass;Dass;Bauchi South;Bauchi;Nigeria;17/04/2019
Daura;Daura;Katsina North;Katsina;Nigeria;17/04/2019
Dawakin Kudu;Dawakin Kudu;Kano Central;Kano;Nigeria;17/04/2019
Dawakin Tofa;Dawakin Tofa;Kano North;Kano;Nigeria;17/04/2019
Degema;Degema;Rivers West;Rivers;Nigeria;17/04/2019
Dekina;Dekina;Kogi East;Kogi;Nigeria;17/04/2019
Demsa;Demsa;Adamawa South;Adamawa;Nigeria;17/04/2019
Dikwa;Dikwa;Borno Central;Borno;Nigeria;17/04/2019
Doguwa;Doguwa;Kano South;Kano;Nigeria;17/04/2019
Doma;Doma;Nassarawa South;Nasarawa;Nigeria;17/04/2019
Donga;Donga;Taraba South;Taraba;Nigeria;17/04/2019
Dukku;Dukku;Gombe North;Gombe;Nigeria;17/04/2019
Dunukofia;Dunukofia;Anambra Central;Anambra;Nigeria;17/04/2019
Dutse;Dutse;Jigawa South-West;Jigawa;Nigeria;17/04/2019
Dutsi;Dutsi;Katsina North;Katsina;Nigeria;17/04/2019
Dutsin-Ma;Dutsin-Ma;Katsina Central;Katsina;Nigeria;17/04/2019
Eastern Obolo;Eastern Obolo;Akwa Ibom South;Akwa Ibom;Nigeria;17/04/2019
Ebonyi;Ebonyi;Ebonyi North;Ebonyi;Nigeria;17/04/2019
Edati;Edati;Niger South;Niger;Nigeria;17/04/2019
Ede North;Ede North;Osun West;Osun;Nigeria;17/04/2019
Ede South;Ede South;Osun West;Osun;Nigeria;17/04/2019
Edu;Edu;Kwara North;Kwara;Nigeria;17/04/2019
Efon;Efon;Ekiti Central;Ekiti;Nigeria;17/04/2019
Egbado North;Egbado North;Ogun West;Ogun;Nigeria;17/04/2019
Egbado South;Egbado South;Ogun West;Ogun;Nigeria;17/04/2019
Egbeda;Egbeda;Oyo Central;Oyo;Nigeria;17/04/2019
Egbedore;Egbedore;Osun West;Osun;Nigeria;17/04/2019
Egor;Egor;Edo South;Edo;Nigeria;17/04/2019
Ehime-Mbano;Ehime-Mbano;Imo North;Imo;Nigeria;17/04/2019
Ejigbo;Ejigbo;Osun West;Osun;Nigeria;17/04/2019
Ekeremor;Ekeremor;Bayelsa West;Bayelsa;Nigeria;17/04/2019
Eket;Eket;Akwa Ibom South;Akwa Ibom;Nigeria;17/04/2019
Ekiti;Ekiti;Kwara South;Kwara;Nigeria;17/04/2019
Ekiti East;Ekiti East;Ekiti South;Ekiti;Nigeria;17/04/2019
Ekiti South West;Ekiti South West;Ekiti South;Ekiti;Nigeria;17/04/2019
Ekiti West;Ekiti West;Ekiti Central;Ekiti;Nigeria;17/04/2019
Ekwusigo;Ekwusigo;Anambra South;Anambra;Nigeria;17/04/2019
Eleme;Eleme;Rivers South East;Rivers;Nigeria;17/04/2019
Emohua;Emohua;Rivers East;Rivers;Nigeria;17/04/2019
Emure;Emure;Ekiti South;Ekiti;Nigeria;17/04/2019
Enugu East;Enugu East;Enugu East;Enugu;Nigeria;17/04/2019
Enugu North;Enugu North;Enugu East;Enugu;Nigeria;17/04/2019
Enugu South;Enugu South;Enugu East;Enugu;Nigeria;17/04/2019
Epe;Epe;Lagos East;Lagos;Nigeria;17/04/2019
Esan Central;Esan Central;Edo Central;Edo;Nigeria;17/04/2019
Esan North East;Esan North East;Edo Central;Edo;Nigeria;17/04/2019
Esan South East;Esan South East;Edo Central;Edo;Nigeria;17/04/2019
Esan West;Esan West;Edo Central;Edo;Nigeria;17/04/2019
Ese-Odo;Ese-Odo;Ondo South;Ondo;Nigeria;17/04/2019
Esit - Eket;Esit - Eket;Akwa Ibom South;Akwa Ibom;Nigeria;17/04/2019
Essien Udim;Essien Udim;Akwa Ibom North West;Akwa Ibom;Nigeria;17/04/2019
Etche;Etche;Rivers East;Rivers;Nigeria;17/04/2019
Ethiope East;Ethiope East;Delta Central;Delta;Nigeria;17/04/2019
Ethiope West;Ethiope West;Delta Central;Delta;Nigeria;17/04/2019
Eti-Osa;Eti-Osa;Lagos Central;Lagos;Nigeria;17/04/2019
Etim Ekpo;Etim Ekpo;Akwa Ibom North West;Akwa Ibom;Nigeria;17/04/2019
Etinan;Etinan;Akwa Ibom North East;Akwa Ibom;Nigeria;17/04/2019
Etsako Central;Etsako Central;Edo North;Edo;Nigeria;17/04/2019
Etsako East;Etsako East;Edo North;Edo;Nigeria;17/04/2019
